,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Tag,Artist,Name,Popularity
456,0.677,0.613,7,-14.591,0,0.0352,0.733,0.94,0.141,0.226,111.99,audio_features,3us6WKGtVHKJKxHJEE5wwW,spotify:track:3us6WKGtVHKJKxHJEE5wwW,https://api.spotify.com/v1/tracks/3us6WKGtVHKJKxHJEE5wwW,https://api.spotify.com/v1/audio-analysis/3us6WKGtVHKJKxHJEE5wwW,226138,4,Travel,Edamame,Cold Tinctures,17
457,0.613,0.714,11,-9.063,0,0.0323,0.225,0.936,0.093,0.181,104.012,audio_features,4mYMp6EwnbCRTYyjcseFM4,spotify:track:4mYMp6EwnbCRTYyjcseFM4,https://api.spotify.com/v1/tracks/4mYMp6EwnbCRTYyjcseFM4,https://api.spotify.com/v1/audio-analysis/4mYMp6EwnbCRTYyjcseFM4,247497,4,Travel,il:lo,Alma,42
458,0.648,0.769,8,-5.452,1,0.0338,0.145,0.876,0.325,0.0684,100.988,audio_features,1M1t2apFGHyprTP6csoIpP,spotify:track:1M1t2apFGHyprTP6csoIpP,https://api.spotify.com/v1/tracks/1M1t2apFGHyprTP6csoIpP,https://api.spotify.com/v1/audio-analysis/1M1t2apFGHyprTP6csoIpP,239406,4,Travel,Very Yes,Ten Ate,42
459,0.529,0.546,1,-9.718,0,0.0341,0.000598,0.935,0.0941,0.065,113.036,audio_features,2wlF1Tg7tQTv4xHHmPdg0C,spotify:track:2wlF1Tg7tQTv4xHHmPdg0C,https://api.spotify.com/v1/tracks/2wlF1Tg7tQTv4xHHmPdg0C,https://api.spotify.com/v1/audio-analysis/2wlF1Tg7tQTv4xHHmPdg0C,287525,4,Travel,PINES,Glisten,8
460,0.194,0.392,7,-13.834,1,0.223,0.69,0.947,0.112,0.0451,83.011,audio_features,5kD0rnzrLicBnaU4mm6EHH,spotify:track:5kD0rnzrLicBnaU4mm6EHH,https://api.spotify.com/v1/tracks/5kD0rnzrLicBnaU4mm6EHH,https://api.spotify.com/v1/audio-analysis/5kD0rnzrLicBnaU4mm6EHH,264001,4,Travel,Instupendo,Sugar - singular balance Remix,15
461,0.516,0.493,0,-11.471,1,0.0355,0.0994,0.899,0.106,0.039,140.267,audio_features,2GezAcXkxwaeNEjQcIHDgS,spotify:track:2GezAcXkxwaeNEjQcIHDgS,https://api.spotify.com/v1/tracks/2GezAcXkxwaeNEjQcIHDgS,https://api.spotify.com/v1/audio-analysis/2GezAcXkxwaeNEjQcIHDgS,288000,4,Travel,Jellis,Still Mine,35
462,0.584,0.406,0,-10.193,0,0.262,0.133,0.646,0.0896,0.537,97.515,audio_features,5UcovshtEG46X0GrcYk5vm,spotify:track:5UcovshtEG46X0GrcYk5vm,https://api.spotify.com/v1/tracks/5UcovshtEG46X0GrcYk5vm,https://api.spotify.com/v1/audio-analysis/5UcovshtEG46X0GrcYk5vm,149408,4,Travel,Coubo,Good Morning,36
463,0.637,0.484,6,-10.95,0,0.0865,0.697,0.932,0.111,0.22,174.002,audio_features,4I0ddznWdICBWy5RHRzsqE,spotify:track:4I0ddznWdICBWy5RHRzsqE,https://api.spotify.com/v1/tracks/4I0ddznWdICBWy5RHRzsqE,https://api.spotify.com/v1/audio-analysis/4I0ddznWdICBWy5RHRzsqE,267086,4,Travel,Twelwe,Kauko,47
464,0.675,0.868,1,-7.523,1,0.0394,0.00959,0.72,0.0614,0.153,120.007,audio_features,39rbdZk7P5ACNrQLcvodv7,spotify:track:39rbdZk7P5ACNrQLcvodv7,https://api.spotify.com/v1/tracks/39rbdZk7P5ACNrQLcvodv7,https://api.spotify.com/v1/audio-analysis/39rbdZk7P5ACNrQLcvodv7,356856,4,Travel,Dena Amy,Jol,37
465,0.542,0.816,2,-5.571,0,0.029,0.00886,0.391,0.122,0.187,105.022,audio_features,4L7VA1ESbPqGl5YWLMkTC2,spotify:track:4L7VA1ESbPqGl5YWLMkTC2,https://api.spotify.com/v1/tracks/4L7VA1ESbPqGl5YWLMkTC2,https://api.spotify.com/v1/audio-analysis/4L7VA1ESbPqGl5YWLMkTC2,246571,4,Travel,Attom,Movement,24
